date,location,daily_vaccinations
1/12/21,Alabama,
1/13/21,Alabama,5906
1/14/21,Alabama,7083
1/15/21,Alabama,7478
1/16/21,Alabama,7498
1/17/21,Alabama,7509
1/18/21,Alabama,7517
1/19/21,Alabama,7523
1/20/21,Alabama,7880
1/21/21,Alabama,10517
1/22/21,Alabama,14107
1/23/21,Alabama,16202
1/24/21,Alabama,18294
1/25/21,Alabama,18196
1/26/21,Alabama,17738
1/27/21,Alabama,18178
1/28/21,Alabama,16153
1/29/21,Alabama,14514
1/30/21,Alabama,17271
1/31/21,Alabama,15748
2/1/21,Alabama,15381
2/2/21,Alabama,16703
2/3/21,Alabama,17414
2/4/21,Alabama,18491
2/5/21,Alabama,18526
2/6/21,Alabama,16105
2/7/21,Alabama,15480
2/8/21,Alabama,15622
2/9/21,Alabama,17012
2/10/21,Alabama,18209
2/11/21,Alabama,19258
2/12/21,Alabama,20074
2/13/21,Alabama,20855
2/14/21,Alabama,21417
2/15/21,Alabama,22405
2/16/21,Alabama,20816
2/17/21,Alabama,19174
2/18/21,Alabama,18400
2/19/21,Alabama,24002
2/20/21,Alabama,25111
2/21/21,Alabama,25194
2/22/21,Alabama,24164
2/23/21,Alabama,25489
2/24/21,Alabama,27098
2/25/21,Alabama,27531
2/26/21,Alabama,22104
2/27/21,Alabama,22022
2/28/21,Alabama,21984
3/1/21,Alabama,22111
3/2/21,Alabama,22436
3/3/21,Alabama,22904
3/4/21,Alabama,23916
3/5/21,Alabama,24388
3/6/21,Alabama,24087
3/7/21,Alabama,23947
3/8/21,Alabama,24040
3/9/21,Alabama,24118
3/10/21,Alabama,24827
3/11/21,Alabama,25376
3/12/21,Alabama,26375
3/13/21,Alabama,26935
3/14/21,Alabama,26926
3/15/21,Alabama,27106
3/16/21,Alabama,27331
3/17/21,Alabama,27167
3/18/21,Alabama,25752
3/19/21,Alabama,25356
3/20/21,Alabama,24649
3/21/21,Alabama,24865
3/22/21,Alabama,24693
3/23/21,Alabama,25307
3/24/21,Alabama,25490
3/25/21,Alabama,27004
3/26/21,Alabama,26387
3/27/21,Alabama,26439
3/28/21,Alabama,26634
3/29/21,Alabama,26759
3/30/21,Alabama,26885
3/31/21,Alabama,26617
4/1/21,Alabama,27555
4/2/21,Alabama,28865
4/3/21,Alabama,28769
4/4/21,Alabama,28533
4/5/21,Alabama,28325
4/6/21,Alabama,28468
4/7/21,Alabama,29498
4/8/21,Alabama,29195
4/9/21,Alabama,29696
4/10/21,Alabama,31155
4/11/21,Alabama,31967
4/12/21,Alabama,32519
4/13/21,Alabama,32914
4/14/21,Alabama,33381
4/15/21,Alabama,33007
4/16/21,Alabama,32034
4/17/21,Alabama,30766
4/18/21,Alabama,29953
4/19/21,Alabama,29296
4/20/21,Alabama,28635
4/21/21,Alabama,27377
4/22/21,Alabama,26702
4/23/21,Alabama,26294
4/24/21,Alabama,25832
4/25/21,Alabama,25590
4/26/21,Alabama,25809
4/27/21,Alabama,24561
4/28/21,Alabama,23898
4/29/21,Alabama,23662
4/30/21,Alabama,23076
5/1/21,Alabama,22271
5/2/21,Alabama,21615
5/3/21,Alabama,21299
5/4/21,Alabama,20711
5/5/21,Alabama,20444
5/6/21,Alabama,16178
5/7/21,Alabama,19313
5/8/21,Alabama,20088
1/12/21,Alaska,
1/13/21,Alaska,2842
1/14/21,Alaska,3379
1/15/21,Alaska,4400
1/16/21,Alaska,4381
1/17/21,Alaska,4369
1/18/21,Alaska,4362
1/19/21,Alaska,4356
1/20/21,Alaska,4230
1/21/21,Alaska,4187
1/22/21,Alaska,4580
1/23/21,Alaska,4997
1/24/21,Alaska,5225
1/25/21,Alaska,5003
1/26/21,Alaska,4545
1/27/21,Alaska,4758
1/28/21,Alaska,4850
1/29/21,Alaska,4186
1/30/21,Alaska,3846
1/31/21,Alaska,3619
2/1/21,Alaska,3570
2/2/21,Alaska,3613
2/3/21,Alaska,3453
2/4/21,Alaska,3440
2/5/21,Alaska,3372
2/6/21,Alaska,3411
2/7/21,Alaska,3785
2/8/21,Alaska,4131
2/9/21,Alaska,4204
2/10/21,Alaska,4356
2/11/21,Alaska,4620
2/12/21,Alaska,4776
2/13/21,Alaska,5142
2/14/21,Alaska,5393
2/15/21,Alaska,5212
2/16/21,Alaska,5448
2/17/21,Alaska,5337
2/18/21,Alaska,5268
2/19/21,Alaska,6970
2/20/21,Alaska,7466
2/21/21,Alaska,7330
2/22/21,Alaska,7266
2/23/21,Alaska,6988
2/24/21,Alaska,7148
2/25/21,Alaska,7201
2/26/21,Alaska,5444
2/27/21,Alaska,4591
2/28/21,Alaska,4229
3/1/21,Alaska,4304
3/2/21,Alaska,4288
3/3/21,Alaska,4243
3/4/21,Alaska,3905
3/5/21,Alaska,3876
3/6/21,Alaska,4155
3/7/21,Alaska,4329
3/8/21,Alaska,4248
3/9/21,Alaska,4678
3/10/21,Alaska,4917
3/11/21,Alaska,5211
3/12/21,Alaska,5294
3/13/21,Alaska,5092
3/14/21,Alaska,5473
3/15/21,Alaska,5571
3/16/21,Alaska,5280
3/17/21,Alaska,5460
3/18/21,Alaska,5390
3/19/21,Alaska,5361
3/20/21,Alaska,5490
3/21/21,Alaska,5583
3/22/21,Alaska,5493
3/23/21,Alaska,5273
3/24/21,Alaska,4758
3/25/21,Alaska,4773
3/26/21,Alaska,4817
3/27/21,Alaska,4707
3/28/21,Alaska,4152
3/29/21,Alaska,3956
3/30/21,Alaska,3969
3/31/21,Alaska,3991
4/1/21,Alaska,3861
4/2/21,Alaska,3702
4/3/21,Alaska,3513
4/4/21,Alaska,3865
4/5/21,Alaska,4022
4/6/21,Alaska,4050
4/7/21,Alaska,4207
4/8/21,Alaska,4537
4/9/21,Alaska,4664
4/10/21,Alaska,5069
4/11/21,Alaska,4676
4/12/21,Alaska,4831
4/13/21,Alaska,9046
4/14/21,Alaska,9009
4/15/21,Alaska,8075
4/16/21,Alaska,8075
4/17/21,Alaska,7732
4/18/21,Alaska,7745
4/19/21,Alaska,7467
4/20/21,Alaska,3288
4/21/21,Alaska,3574
4/22/21,Alaska,4331
4/23/21,Alaska,4098
4/24/21,Alaska,3874
4/25/21,Alaska,3447
4/26/21,Alaska,3292
4/27/21,Alaska,3223
4/28/21,Alaska,2645
4/29/21,Alaska,2913
4/30/21,Alaska,2749
5/1/21,Alaska,3386
5/2/21,Alaska,3259
5/3/21,Alaska,3187
5/4/21,Alaska,3084
5/5/21,Alaska,3064
5/6/21,Alaska,2358
5/7/21,Alaska,2321
5/8/21,Alaska,1523
1/12/21,American Samoa,
1/13/21,American Samoa,453
1/14/21,American Samoa,424
1/15/21,American Samoa,586
1/16/21,American Samoa,494
1/17/21,American Samoa,439
1/18/21,American Samoa,402
1/19/21,American Samoa,376
1/20/21,American Samoa,391
1/21/21,American Samoa,385
1/22/21,American Samoa,384
1/23/21,American Samoa,390
1/24/21,American Samoa,532
1/25/21,American Samoa,501
1/26/21,American Samoa,508
1/27/21,American Samoa,539
1/28/21,American Samoa,489
1/29/21,American Samoa,479
1/30/21,American Samoa,442
1/31/21,American Samoa,268
2/1/21,American Samoa,388
2/2/21,American Samoa,349
2/3/21,American Samoa,283
2/4/21,American Samoa,310
2/5/21,American Samoa,301
2/6/21,American Samoa,333
2/7/21,American Samoa,333
2/8/21,American Samoa,214
2/9/21,American Samoa,274
2/10/21,American Samoa,322
2/11/21,American Samoa,322
2/12/21,American Samoa,429
2/13/21,American Samoa,446
2/14/21,American Samoa,446
2/15/21,American Samoa,498
2/16/21,American Samoa,490
2/17/21,American Samoa,422
2/18/21,American Samoa,394
2/19/21,American Samoa,177
2/20/21,American Samoa,337
2/21/21,American Samoa,485
2/22/21,American Samoa,439
2/23/21,American Samoa,387
2/24/21,American Samoa,496
2/25/21,American Samoa,496
2/26/21,American Samoa,581
2/27/21,American Samoa,371
2/28/21,American Samoa,223
3/1/21,American Samoa,217
3/2/21,American Samoa,323
3/3/21,American Samoa,191
3/4/21,American Samoa,269
3/5/21,American Samoa,184
3/6/21,American Samoa,184
3/7/21,American Samoa,184
3/8/21,American Samoa,184
3/9/21,American Samoa,78
3/10/21,American Samoa,374
3/11/21,American Samoa,296
3/12/21,American Samoa,296
3/13/21,American Samoa,296
3/14/21,American Samoa,296
3/15/21,American Samoa,382
3/16/21,American Samoa,382
3/17/21,American Samoa,86
3/18/21,American Samoa,86
3/19/21,American Samoa,86
3/20/21,American Samoa,86
3/21/21,American Samoa,86
3/22/21,American Samoa,388
3/23/21,American Samoa,423
3/24/21,American Samoa,505
3/25/21,American Samoa,509
3/26/21,American Samoa,600
3/27/21,American Samoa,604
3/28/21,American Samoa,604
3/29/21,American Samoa,216
3/30/21,American Samoa,259
3/31/21,American Samoa,476
4/1/21,American Samoa,472
4/2/21,American Samoa,465
4/3/21,American Samoa,462
4/4/21,American Samoa,464
4/5/21,American Samoa,464
4/6/21,American Samoa,385
4/7/21,American Samoa,241
4/8/21,American Samoa,248
4/9/21,American Samoa,255
4/10/21,American Samoa,255
4/11/21,American Samoa,341
4/12/21,American Samoa,341
4/13/21,American Samoa,341
4/14/21,American Samoa,276
4/15/21,American Samoa,269
4/16/21,American Samoa,347
4/17/21,American Samoa,347
4/18/21,American Samoa,258
4/19/21,American Samoa,258
4/20/21,American Samoa,258
4/21/21,American Samoa,187
4/22/21,American Samoa,187
4/23/21,American Samoa,180
4/24/21,American Samoa,180
4/25/21,American Samoa,231
4/26/21,American Samoa,231
4/27/21,American Samoa,262
4/28/21,American Samoa,245
4/29/21,American Samoa,321
4/30/21,American Samoa,216
5/1/21,American Samoa,216
5/2/21,American Samoa,165
5/3/21,American Samoa,165
5/4/21,American Samoa,188
5/5/21,American Samoa,209
5/6/21,American Samoa,133
5/7/21,American Samoa,132
5/8/21,American Samoa,132
1/12/21,Arizona,
1/13/21,Arizona,13390
1/14/21,Arizona,16155
1/15/21,Arizona,18577
1/16/21,Arizona,18257
1/17/21,Arizona,18065
1/18/21,Arizona,17937
1/19/21,Arizona,17846
1/20/21,Arizona,18163
1/21/21,Arizona,18605
1/22/21,Arizona,18895
1/23/21,Arizona,20939
1/24/21,Arizona,22706
1/25/21,Arizona,23526
1/26/21,Arizona,23517
1/27/21,Arizona,25196
1/28/21,Arizona,26179
1/29/21,Arizona,27393
1/30/21,Arizona,28059
1/31/21,Arizona,29069
2/1/21,Arizona,29564
2/2/21,Arizona,28681
2/3/21,Arizona,28255
2/4/21,Arizona,28424
2/5/21,Arizona,28337
2/6/21,Arizona,29917
2/7/21,Arizona,30732
2/8/21,Arizona,31487
2/9/21,Arizona,33164
2/10/21,Arizona,34531
2/11/21,Arizona,36494
2/12/21,Arizona,38691
2/13/21,Arizona,39176
2/14/21,Arizona,39989
2/15/21,Arizona,40122
2/16/21,Arizona,41539
2/17/21,Arizona,38163
2/18/21,Arizona,37314
2/19/21,Arizona,55158
2/20/21,Arizona,54896
2/21/21,Arizona,54360
2/22/21,Arizona,54958
2/23/21,Arizona,53030
2/24/21,Arizona,55863
2/25/21,Arizona,57825
2/26/21,Arizona,42127
2/27/21,Arizona,43278
2/28/21,Arizona,46110
3/1/21,Arizona,48955
3/2/21,Arizona,51993
3/3/21,Arizona,53580
3/4/21,Arizona,53198
3/5/21,Arizona,52476
3/6/21,Arizona,45071
3/7/21,Arizona,52879
3/8/21,Arizona,52280
3/9/21,Arizona,50873
3/10/21,Arizona,51794
3/11/21,Arizona,52921
3/12/21,Arizona,54235
3/13/21,Arizona,62981
3/14/21,Arizona,56433
3/15/21,Arizona,55772
3/16/21,Arizona,58490
3/17/21,Arizona,57709
3/18/21,Arizona,57866
3/19/21,Arizona,48949
3/20/21,Arizona,48762
3/21/21,Arizona,47913
3/22/21,Arizona,48184
3/23/21,Arizona,45042
3/24/21,Arizona,44646
3/25/21,Arizona,50166
3/26/21,Arizona,58308
3/27/21,Arizona,59086
3/28/21,Arizona,59378
3/29/21,Arizona,60022
3/30/21,Arizona,61260
3/31/21,Arizona,63074
4/1/21,Arizona,57997
4/2/21,Arizona,58912
4/3/21,Arizona,59149
4/4/21,Arizona,58794
4/5/21,Arizona,58482
4/6/21,Arizona,58525
4/7/21,Arizona,57644
4/8/21,Arizona,55514
4/9/21,Arizona,56308
4/10/21,Arizona,57204
4/11/21,Arizona,57826
4/12/21,Arizona,56643
4/13/21,Arizona,56417
4/14/21,Arizona,56531
4/15/21,Arizona,57918
4/16/21,Arizona,55841
4/17/21,Arizona,55226
4/18/21,Arizona,54391
4/19/21,Arizona,54470
4/20/21,Arizona,53921
4/21/21,Arizona,54448
4/22/21,Arizona,54571
4/23/21,Arizona,54802
4/24/21,Arizona,53506
4/25/21,Arizona,52397
4/26/21,Arizona,51720
4/27/21,Arizona,51362
4/28/21,Arizona,49861
4/29/21,Arizona,47964
4/30/21,Arizona,45756
5/1/21,Arizona,44097
5/2/21,Arizona,41448
5/3/21,Arizona,37787
5/4/21,Arizona,36127
5/5/21,Arizona,33654
5/6/21,Arizona,33626
5/7/21,Arizona,32954
5/8/21,Arizona,30521
1/12/21,Arkansas,
1/13/21,Arkansas,53975
1/14/21,Arkansas,33718
1/15/21,Arkansas,25820
1/16/21,Arkansas,20865
1/17/21,Arkansas,17892
1/18/21,Arkansas,15910
1/19/21,Arkansas,14494
1/20/21,Arkansas,11208
1/21/21,Arkansas,9285
1/22/21,Arkansas,11905
1/23/21,Arkansas,11048
1/24/21,Arkansas,11986
1/25/21,Arkansas,12108
1/26/21,Arkansas,13422
1/27/21,Arkansas,11359
1/28/21,Arkansas,11359
1/29/21,Arkansas,9760
1/30/21,Arkansas,12425
1/31/21,Arkansas,12793
2/1/21,Arkansas,12876
2/2/21,Arkansas,11169
2/3/21,Arkansas,9946
2/4/21,Arkansas,12200
2/5/21,Arkansas,11597
2/6/21,Arkansas,12289
2/7/21,Arkansas,12807
2/8/21,Arkansas,12919
2/9/21,Arkansas,12808
2/10/21,Arkansas,13658
2/11/21,Arkansas,13225
2/12/21,Arkansas,13710
2/13/21,Arkansas,11816
2/14/21,Arkansas,11299
2/15/21,Arkansas,10903
2/16/21,Arkansas,11330
2/17/21,Arkansas,9842
2/18/21,Arkansas,8562
2/19/21,Arkansas,10018
2/20/21,Arkansas,9074
2/21/21,Arkansas,7990
2/22/21,Arkansas,8204
2/23/21,Arkansas,8108
2/24/21,Arkansas,9645
2/25/21,Arkansas,11688
2/26/21,Arkansas,11531
2/27/21,Arkansas,14537
2/28/21,Arkansas,17263
3/1/21,Arkansas,18023
3/2/21,Arkansas,18660
3/3/21,Arkansas,18995
3/4/21,Arkansas,18831
3/5/21,Arkansas,17967
3/6/21,Arkansas,17353
3/7/21,Arkansas,16564
3/8/21,Arkansas,15969
3/9/21,Arkansas,15991
3/10/21,Arkansas,15964
3/11/21,Arkansas,13675
3/12/21,Arkansas,16122
3/13/21,Arkansas,19784
3/14/21,Arkansas,16767
3/15/21,Arkansas,17033
3/16/21,Arkansas,16330
3/17/21,Arkansas,16211
3/18/21,Arkansas,18539
3/19/21,Arkansas,16616
3/20/21,Arkansas,13192
3/21/21,Arkansas,16694
3/22/21,Arkansas,16570
3/23/21,Arkansas,16479
3/24/21,Arkansas,17120
3/25/21,Arkansas,18064
3/26/21,Arkansas,19037
3/27/21,Arkansas,19925
3/28/21,Arkansas,20629
3/29/21,Arkansas,20738
3/30/21,Arkansas,20956
3/31/21,Arkansas,21542
4/1/21,Arkansas,21951
4/2/21,Arkansas,22557
4/3/21,Arkansas,27298
4/4/21,Arkansas,23274
4/5/21,Arkansas,23189
4/6/21,Arkansas,23719
4/7/21,Arkansas,23990
4/8/21,Arkansas,24232
4/9/21,Arkansas,23095
4/10/21,Arkansas,19233
4/11/21,Arkansas,23211
4/12/21,Arkansas,23244
4/13/21,Arkansas,22724
4/14/21,Arkansas,22439
4/15/21,Arkansas,22221
4/16/21,Arkansas,22285
4/17/21,Arkansas,20800
4/18/21,Arkansas,20359
4/19/21,Arkansas,19942
4/20/21,Arkansas,20109
4/21/21,Arkansas,19587
4/22/21,Arkansas,18842
4/23/21,Arkansas,18072
4/24/21,Arkansas,17377
4/25/21,Arkansas,16135
4/26/21,Arkansas,16576
4/27/21,Arkansas,16081
4/28/21,Arkansas,15427
4/29/21,Arkansas,15008
4/30/21,Arkansas,14151
5/1/21,Arkansas,13769
5/2/21,Arkansas,14201
5/3/21,Arkansas,13644
5/4/21,Arkansas,13845
5/5/21,Arkansas,13162
5/6/21,Arkansas,12634
5/7/21,Arkansas,12152
5/8/21,Arkansas,11696
1/12/21,Bureau of Prisons,
1/13/21,Bureau of Prisons,1031
1/14/21,Bureau of Prisons,728
1/15/21,Bureau of Prisons,674
1/16/21,Bureau of Prisons,564
1/17/21,Bureau of Prisons,499
1/18/21,Bureau of Prisons,455
1/19/21,Bureau of Prisons,424
1/20/21,Bureau of Prisons,483
1/21/21,Bureau of Prisons,674
1/22/21,Bureau of Prisons,661
1/23/21,Bureau of Prisons,918
1/24/21,Bureau of Prisons,989
1/25/21,Bureau of Prisons,995
1/26/21,Bureau of Prisons,1126
1/27/21,Bureau of Prisons,1179
1/28/21,Bureau of Prisons,1097
1/29/21,Bureau of Prisons,1206
1/30/21,Bureau of Prisons,1086
1/31/21,Bureau of Prisons,1029
2/1/21,Bureau of Prisons,989
2/2/21,Bureau of Prisons,977
2/3/21,Bureau of Prisons,990
2/4/21,Bureau of Prisons,1097
2/5/21,Bureau of Prisons,1201
2/6/21,Bureau of Prisons,1239
2/7/21,Bureau of Prisons,1293
2/8/21,Bureau of Prisons,1293
2/9/21,Bureau of Prisons,1242
2/10/21,Bureau of Prisons,1214
2/11/21,Bureau of Prisons,1140
2/12/21,Bureau of Prisons,1065
2/13/21,Bureau of Prisons,1044
2/14/21,Bureau of Prisons,1033
2/15/21,Bureau of Prisons,1071
2/16/21,Bureau of Prisons,1007
2/17/21,Bureau of Prisons,838
2/18/21,Bureau of Prisons,696
2/19/21,Bureau of Prisons,614
2/20/21,Bureau of Prisons,592
2/21/21,Bureau of Prisons,672
2/22/21,Bureau of Prisons,646
2/23/21,Bureau of Prisons,665
2/24/21,Bureau of Prisons,731
2/25/21,Bureau of Prisons,864
2/26/21,Bureau of Prisons,1069
2/27/21,Bureau of Prisons,1166
2/28/21,Bureau of Prisons,1145
3/1/21,Bureau of Prisons,1134
3/2/21,Bureau of Prisons,1180
3/3/21,Bureau of Prisons,1288
3/4/21,Bureau of Prisons,1611
3/5/21,Bureau of Prisons,1819
3/6/21,Bureau of Prisons,1789
3/7/21,Bureau of Prisons,1699
3/8/21,Bureau of Prisons,1699
3/9/21,Bureau of Prisons,1648
3/10/21,Bureau of Prisons,1501
3/11/21,Bureau of Prisons,1407
3/12/21,Bureau of Prisons,1238
3/13/21,Bureau of Prisons,1275
3/14/21,Bureau of Prisons,1216
3/15/21,Bureau of Prisons,1216
3/16/21,Bureau of Prisons,1214
3/17/21,Bureau of Prisons,1242
3/18/21,Bureau of Prisons,1139
3/19/21,Bureau of Prisons,1078
3/20/21,Bureau of Prisons,1046
3/21/21,Bureau of Prisons,1168
3/22/21,Bureau of Prisons,1196
3/23/21,Bureau of Prisons,1171
3/24/21,Bureau of Prisons,1199
3/25/21,Bureau of Prisons,1571
3/26/21,Bureau of Prisons,1796
3/27/21,Bureau of Prisons,1879
3/28/21,Bureau of Prisons,1846
3/29/21,Bureau of Prisons,1819
3/30/21,Bureau of Prisons,1808
3/31/21,Bureau of Prisons,1679
4/1/21,Bureau of Prisons,1757
4/2/21,Bureau of Prisons,1723
4/3/21,Bureau of Prisons,1516
4/4/21,Bureau of Prisons,1488
4/5/21,Bureau of Prisons,1488
4/6/21,Bureau of Prisons,1489
4/7/21,Bureau of Prisons,1616
4/8/21,Bureau of Prisons,1738
4/9/21,Bureau of Prisons,1730
4/10/21,Bureau of Prisons,2023
4/11/21,Bureau of Prisons,2100
4/12/21,Bureau of Prisons,2104
4/13/21,Bureau of Prisons,2108
4/14/21,Bureau of Prisons,2155
4/15/21,Bureau of Prisons,1281
4/16/21,Bureau of Prisons,1227
4/17/21,Bureau of Prisons,1007
4/18/21,Bureau of Prisons,917
4/19/21,Bureau of Prisons,913
4/20/21,Bureau of Prisons,903
4/21/21,Bureau of Prisons,826
4/22/21,Bureau of Prisons,1271
4/23/21,Bureau of Prisons,1168
4/24/21,Bureau of Prisons,1280
4/25/21,Bureau of Prisons,1315
4/26/21,Bureau of Prisons,1315
4/27/21,Bureau of Prisons,1308
4/28/21,Bureau of Prisons,1321
4/29/21,Bureau of Prisons,1514
4/30/21,Bureau of Prisons,1618
5/1/21,Bureau of Prisons,1664
5/2/21,Bureau of Prisons,1651
5/3/21,Bureau of Prisons,1651
5/4/21,Bureau of Prisons,1651
5/5/21,Bureau of Prisons,1634
5/6/21,Bureau of Prisons,1456
5/7/21,Bureau of Prisons,1431
5/8/21,Bureau of Prisons,1093
1/12/21,California,
1/13/21,California,75188
1/14/21,California,79496
1/15/21,California,85553
1/16/21,California,88381
1/17/21,California,90079
1/18/21,California,91210
1/19/21,California,92018
1/20/21,California,91549
1/21/21,California,94083
1/22/21,California,104389
1/23/21,California,119770
1/24/21,California,133316
1/25/21,California,138153
1/26/21,California,140878
1/27/21,California,149620
1/28/21,California,159000
1/29/21,California,158126
1/30/21,California,155366
1/31/21,California,155063
2/1/21,California,160379
2/2/21,California,156749
2/3/21,California,155950
2/4/21,California,139561
2/5/21,California,144296
2/6/21,California,148831
2/7/21,California,171402
2/8/21,California,175654
2/9/21,California,177237
2/10/21,California,183712
2/11/21,California,201580
2/12/21,California,202925
2/13/21,California,203565
2/14/21,California,190746
2/15/21,California,190404
2/16/21,California,203788
2/17/21,California,195102
2/18/21,California,194468
2/19/21,California,231928
2/20/21,California,234166
2/21/21,California,233297
2/22/21,California,227005
2/23/21,California,216733
2/24/21,California,221857
2/25/21,California,223997
2/26/21,California,192335
2/27/21,California,194965
2/28/21,California,195368
3/1/21,California,214479
3/2/21,California,252715
3/3/21,California,265023
3/4/21,California,256584
3/5/21,California,251504
3/6/21,California,264079
3/7/21,California,259101
3/8/21,California,242771
3/9/21,California,204065
3/10/21,California,190191
3/11/21,California,194328
3/12/21,California,193794
3/13/21,California,209548
3/14/21,California,178375
3/15/21,California,214448
3/16/21,California,251553
3/17/21,California,299789
3/18/21,California,334655
3/19/21,California,350707
3/20/21,California,342038
3/21/21,California,403543
3/22/21,California,392009
3/23/21,California,380370
3/24/21,California,361552
3/25/21,California,357025
3/26/21,California,377779
3/27/21,California,381256
3/28/21,California,375263
3/29/21,California,378982
3/30/21,California,367579
3/31/21,California,361646
4/1/21,California,363128
4/2/21,California,351209
4/3/21,California,357814
4/4/21,California,375343
4/5/21,California,372228
4/6/21,California,366223
4/7/21,California,377497
4/8/21,California,377051
4/9/21,California,391393
4/10/21,California,404572
4/11/21,California,398820
4/12/21,California,388844
4/13/21,California,391650
4/14/21,California,407905
4/15/21,California,428384
4/16/21,California,474575
4/17/21,California,469733
4/18/21,California,476835
4/19/21,California,486322
4/20/21,California,494575
4/21/21,California,470327
4/22/21,California,448969
4/23/21,California,382776
4/24/21,California,390331
4/25/21,California,386663
4/26/21,California,387965
4/27/21,California,383386
4/28/21,California,375225
4/29/21,California,367495
4/30/21,California,356625
5/1/21,California,359825
5/2/21,California,340912
5/3/21,California,318725
5/4/21,California,299430
5/5/21,California,290114
5/6/21,California,291408
5/7/21,California,306331
5/8/21,California,277007
1/12/21,Colorado,
1/13/21,Colorado,15237
1/14/21,Colorado,15139
1/15/21,Colorado,15935
1/16/21,Colorado,15580
1/17/21,Colorado,15367
1/18/21,Colorado,15225
1/19/21,Colorado,15123
1/20/21,Colorado,14396
1/21/21,Colorado,14070
1/22/21,Colorado,15007
1/23/21,Colorado,12934
1/24/21,Colorado,19033
1/25/21,Colorado,18872
1/26/21,Colorado,18208
1/27/21,Colorado,19156
1/28/21,Colorado,20359
1/29/21,Colorado,20657
1/30/21,Colorado,24010
1/31/21,Colorado,19248
2/1/21,Colorado,20272
2/2/21,Colorado,20514
2/3/21,Colorado,20371
2/4/21,Colorado,20460
2/5/21,Colorado,19975
2/6/21,Colorado,21358
2/7/21,Colorado,22952
2/8/21,Colorado,23168
2/9/21,Colorado,22316
2/10/21,Colorado,24274
2/11/21,Colorado,25169
2/12/21,Colorado,26131
2/13/21,Colorado,27246
2/14/21,Colorado,28130
2/15/21,Colorado,30249
2/16/21,Colorado,34720
2/17/21,Colorado,33875
2/18/21,Colorado,33990
2/19/21,Colorado,41118
2/20/21,Colorado,40331
2/21/21,Colorado,39336
2/22/21,Colorado,38285
2/23/21,Colorado,33267
2/24/21,Colorado,34876
2/25/21,Colorado,34456
2/26/21,Colorado,27248
2/27/21,Colorado,22403
2/28/21,Colorado,24202
3/1/21,Colorado,25887
3/2/21,Colorado,27913
3/3/21,Colorado,27679
3/4/21,Colorado,28668
3/5/21,Colorado,29383
3/6/21,Colorado,36492
3/7/21,Colorado,36417
3/8/21,Colorado,30650
3/9/21,Colorado,31695
3/10/21,Colorado,33203
3/11/21,Colorado,38451
3/12/21,Colorado,41169
3/13/21,Colorado,42625
3/14/21,Colorado,36020
3/15/21,Colorado,43751
3/16/21,Colorado,42517
3/17/21,Colorado,41865
3/18/21,Colorado,37878
3/19/21,Colorado,37605
3/20/21,Colorado,44230
3/21/21,Colorado,53105
3/22/21,Colorado,48992
3/23/21,Colorado,51727
3/24/21,Colorado,50937
3/25/21,Colorado,51384
3/26/21,Colorado,51867
3/27/21,Colorado,44676
3/28/21,Colorado,45531
3/29/21,Colorado,46590
3/30/21,Colorado,47840
3/31/21,Colorado,49594
4/1/21,Colorado,51019
4/2/21,Colorado,51519
4/3/21,Colorado,53895
4/4/21,Colorado,55017
4/5/21,Colorado,53844
4/6/21,Colorado,53228
4/7/21,Colorado,55430
4/8/21,Colorado,54810
4/9/21,Colorado,54395
4/10/21,Colorado,55437
4/11/21,Colorado,54577
4/12/21,Colorado,61132
4/13/21,Colorado,63731
4/14/21,Colorado,64075
4/15/21,Colorado,64837
4/16/21,Colorado,65974
4/17/21,Colorado,64067
4/18/21,Colorado,64895
4/19/21,Colorado,62680
4/20/21,Colorado,60973
4/21/21,Colorado,59197
4/22/21,Colorado,60061
4/23/21,Colorado,60260
4/24/21,Colorado,51089
4/25/21,Colorado,60028
4/26/21,Colorado,56378
4/27/21,Colorado,55430
4/28/21,Colorado,54540
4/29/21,Colorado,54930
4/30/21,Colorado,53491
5/1/21,Colorado,62007
5/2/21,Colorado,48342
5/3/21,Colorado,47140
5/4/21,Colorado,46187
5/5/21,Colorado,46552
5/6/21,Colorado,46177
5/7/21,Colorado,46468
5/8/21,Colorado,44615
1/12/21,Connecticut,
1/13/21,Connecticut,10480
1/14/21,Connecticut,10251
1/15/21,Connecticut,11490
1/16/21,Connecticut,11346
1/17/21,Connecticut,11260
1/18/21,Connecticut,11202
1/19/21,Connecticut,11161
1/20/21,Connecticut,11609
1/21/21,Connecticut,13259
1/22/21,Connecticut,14511
1/23/21,Connecticut,15716
1/24/21,Connecticut,16292
1/25/21,Connecticut,16094
1/26/21,Connecticut,16160
1/27/21,Connecticut,16836
1/28/21,Connecticut,16636
1/29/21,Connecticut,16561
1/30/21,Connecticut,16342
1/31/21,Connecticut,16444
2/1/21,Connecticut,16856
2/2/21,Connecticut,16207
2/3/21,Connecticut,14860
2/4/21,Connecticut,14381
2/5/21,Connecticut,14140
2/6/21,Connecticut,14030
2/7/21,Connecticut,13871
2/8/21,Connecticut,13309
2/9/21,Connecticut,14033
2/10/21,Connecticut,15677
2/11/21,Connecticut,16918
2/12/21,Connecticut,17762
2/13/21,Connecticut,19338
2/14/21,Connecticut,20109
2/15/21,Connecticut,21501
2/16/21,Connecticut,22403
2/17/21,Connecticut,23349
2/18/21,Connecticut,23848
