Date,Confirmed,Deaths,Recovered,Active,New Cases,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,No. of Countries
2021-01-17,95353461,2096559,52349804,40907098,529020,2.2,54.9,4.0,191
2021-01-18,95867502,2106276,52668557,41092669,514042,2.2,54.94,4.0,191
2021-01-19,96467166,2122919,53071501,41272746,599664,2.2,55.02,4.0,191
2021-01-20,97164900,2140926,53399272,41624702,697734,2.2,54.96,4.01,191
2021-01-21,97822391,2158034,53765411,41898946,657491,2.21,54.96,4.01,192
2021-01-22,98483066,2174181,54147168,42161717,660675,2.21,54.98,4.02,192
2021-01-23,99058140,2188157,54463661,42406322,575074,2.21,54.98,4.02,192
2021-01-24,99516881,2197359,54774618,42544904,458741,2.21,55.04,4.01,192
2021-01-25,100008095,2208341,55089059,42710695,491214,2.21,55.08,4.01,192
2021-01-26,100564497,2225842,55418602,42920053,556402,2.21,55.11,4.02,192
2021-01-27,101166729,2243170,55759371,43164188,602232,2.22,55.12,4.02,192
2021-01-28,101781229,2260166,56075030,43446033,614500,2.22,55.09,4.03,192
2021-01-29,102373053,2275629,56439137,43658287,591826,2.22,55.13,4.03,192
2021-01-30,102894393,2289269,56790303,43814821,521340,2.22,55.19,4.03,192
2021-01-31,103284064,2298035,57079202,43906827,389671,2.22,55.26,4.03,192
2021-02-01,103727988,2308387,57351844,44067757,443924,2.23,55.29,4.02,192
2021-02-02,104188103,2323773,57702034,44162296,460115,2.23,55.38,4.03,192
2021-02-03,104715318,2339882,58031881,44343555,527215,2.23,55.42,4.03,192
2021-02-04,105184739,2352872,58325870,44505997,469421,2.24,55.45,4.03,192
2021-02-05,105720495,2370052,58607157,44743286,535756,2.24,55.44,4.04,192
2021-02-06,106102269,2380544,58901714,44820011,381774,2.24,55.51,4.04,192
2021-02-07,106508061,2388853,59179149,44940059,405792,2.24,55.56,4.04,192
2021-02-08,106821825,2397550,59411983,45012292,313765,2.24,55.62,4.04,192
2021-02-09,107252645,2413674,59783591,45055380,430820,2.25,55.74,4.04,192
2021-02-10,107691989,2427694,60052899,45211396,439344,2.25,55.76,4.04,192
2021-02-11,108136922,2441378,60328984,45366560,444933,2.26,55.79,4.05,192
2021-02-12,108568471,2454486,60616583,45497402,431549,2.26,55.83,4.05,192
2021-02-13,108946687,2464928,60862826,45618933,378216,2.26,55.86,4.05,192
2021-02-14,109246746,2471623,61058257,45716866,300059,2.26,55.89,4.05,192
2021-02-15,109533157,2479023,61346870,45707264,286411,2.26,56.01,4.04,192
2021-02-16,109883486,2490480,61582275,45810731,350329,2.27,56.04,4.04,192
2021-02-17,110281377,2502404,61876216,45902757,397891,2.27,56.11,4.04,192
2021-02-18,110689276,2514285,62112834,46062157,407899,2.27,56.11,4.05,192
2021-02-19,111103491,2525948,62347470,46230073,414215,2.27,56.12,4.05,192
2021-02-20,111479320,2534915,62616686,46327719,375829,2.27,56.17,4.05,192
2021-02-21,111800047,2541355,62833943,46424749,320727,2.27,56.2,4.04,192
2021-02-22,112089802,2548659,63016513,46524630,289755,2.27,56.22,4.04,192
2021-02-23,112481860,2560363,63295143,46626354,392058,2.28,56.27,4.05,192
2021-02-24,112930013,2572870,63504602,46852541,448153,2.28,56.23,4.05,192
2021-02-25,113381055,2583503,63732294,47065258,451042,2.28,56.21,4.05,192
2021-02-26,113828030,2594298,63992562,47241170,446975,2.28,56.22,4.05,192
2021-02-27,114222076,2602931,64243284,47375861,394046,2.28,56.24,4.05,192
2021-02-28,114531076,2609157,64418461,47503458,309000,2.28,56.25,4.05,192
2021-03-01,114835871,2616813,64633387,47585671,304795,2.28,56.28,4.05,192
2021-03-02,115149334,2627152,64903491,47618691,387810,2.28,56.36,4.05,192
2021-03-03,115592973,2638989,65132899,47821085,443639,2.28,56.35,4.05,192
2021-03-04,116049300,2649290,65383179,48016831,456327,2.28,56.34,4.05,192
2021-03-05,116499181,2659905,65609539,48229737,449881,2.28,56.32,4.05,192
2021-03-06,116914349,2668055,65846042,48400252,415168,2.28,56.32,4.05,192
2021-03-07,117286986,2673942,66084362,48528682,372637,2.28,56.34,4.05,192
2021-03-08,117587273,2681059,66358920,48547294,300287,2.28,56.43,4.04,192
2021-03-09,118002754,2691681,66621153,48689920,415481,2.28,56.46,4.04,192
2021-03-10,118472160,2701816,66856509,48913835,469406,2.28,56.43,4.04,192
2021-03-11,118951343,2712034,67129126,49110183,479183,2.28,56.43,4.04,192
2021-03-12,119443133,2722020,67397682,49323431,491790,2.28,56.43,4.04,192
2021-03-13,119900175,2730455,67650214,49519506,457042,2.28,56.42,4.04,192
2021-03-14,120264594,2736365,67895902,49632327,364419,2.28,56.46,4.03,192
2021-03-15,120613572,2743764,68185781,49684027,348978,2.27,56.53,4.02,192
2021-03-16,121081133,2754397,68452266,49874470,467561,2.27,56.53,4.02,192
2021-03-17,121632735,2764981,68716802,50150952,551602,2.27,56.5,4.02,192
2021-03-18,122176638,2775706,68985878,50415054,543903,2.27,56.46,4.02,192
2021-03-19,122741006,2786685,69264939,50689382,564368,2.27,56.43,4.02,192
2021-03-20,123242514,2795421,69523150,50923943,501508,2.27,56.41,4.02,192
2021-03-21,123679428,2803933,69803249,51072246,436914,2.27,56.44,4.02,192
2021-03-22,124095742,2811758,70137878,51146106,418528,2.27,56.52,4.01,192
2021-03-23,124611607,2823328,70451020,51337259,515865,2.27,56.54,4.01,192
2021-03-24,125247074,2833754,70786662,51626658,637468,2.26,56.52,4.0,192
2021-03-25,125900465,2845396,71098479,51956590,653391,2.26,56.47,4.0,192
2021-03-26,126543392,2858287,71463065,52222040,642927,2.26,56.47,4.0,192
2021-03-27,127129215,2868451,71768318,52492446,585823,2.26,56.45,4.0,192
2021-03-28,127604646,2875735,72097106,52631805,475431,2.25,56.5,3.99,192
2021-03-29,128062270,2884147,72401542,52776581,457624,2.25,56.54,3.98,192
2021-03-30,128632258,2896279,72736785,52999194,569988,2.25,56.55,3.98,192
2021-03-31,129316957,2909112,73119294,53288551,684699,2.25,56.54,3.98,192
2021-04-01,130030615,2921567,73464080,53644968,713658,2.25,56.5,3.98,192
2021-04-02,130667158,2932220,73784287,53950651,636543,2.24,56.47,3.97,192
2021-04-03,131198832,2941569,74150288,54106975,531674,2.24,56.52,3.97,192
2021-04-04,131754927,2948882,74498476,54307569,556095,2.24,56.54,3.96,192
2021-04-05,132240685,2956548,74846289,54437848,485758,2.24,56.6,3.95,192
2021-04-06,132846163,2969160,75216285,54660718,605478,2.24,56.62,3.95,192
2021-04-07,133532276,2984881,75699590,54847805,686113,2.24,56.69,3.94,192
2021-04-08,134373324,2999314,76094849,55279161,841048,2.23,56.63,3.94,192
2021-04-09,135124084,3013566,76548562,55561956,755547,2.23,56.65,3.94,192
2021-04-10,135792406,3026629,76933556,55832221,668322,2.23,56.66,3.93,192
2021-04-11,136484739,3035638,77464028,55985073,692333,2.22,56.76,3.92,192
2021-04-12,137098603,3045480,77858760,56194363,613864,2.22,56.79,3.91,192
2021-04-13,137880134,3059369,78345222,56475543,781531,2.22,56.82,3.9,192
2021-04-14,138696609,3073417,78792112,56831080,816475,2.22,56.81,3.9,192
2021-04-15,139513723,3087082,79236514,57190127,817114,2.21,56.79,3.9,192
2021-04-16,140371900,3100385,79740631,57530884,858177,2.21,56.81,3.89,192
2021-04-17,141159911,3112889,80259167,57787855,788064,2.21,56.86,3.88,192
2021-04-18,141846923,3122129,80839358,57885436,687012,2.2,56.99,3.86,192
2021-04-19,142539984,3133036,81374733,58032215,693061,2.2,57.09,3.85,192
2021-04-20,143394238,3147353,81979570,58267315,854254,2.19,57.17,3.84,192
2021-04-21,144285824,3162293,82491870,58631661,891586,2.19,57.17,3.83,192
2021-04-22,145185552,3176171,83128166,58881215,899728,2.19,57.26,3.82,192
2021-04-23,146089805,3191345,83767998,59130462,904253,2.18,57.34,3.81,192
2021-04-24,146912334,3204619,84344289,59363426,822529,2.18,57.41,3.8,192
2021-04-25,147637461,3215268,84878103,59544090,725127,2.18,57.49,3.79,192
2021-04-26,148319146,3226890,85565469,59526787,681685,2.18,57.69,3.77,192
2021-04-27,149164508,3241884,86246373,59676251,845362,2.17,57.82,3.76,192
2021-04-28,150072798,3257957,86843038,59971803,908290,2.17,57.87,3.75,192
2021-04-29,150969860,3273699,87550354,60145807,897062,2.17,57.99,3.74,192
2021-04-30,151850370,3287773,88236950,60325647,880510,2.17,58.11,3.73,192
2021-05-01,152649103,3301090,88919400,60428613,798733,2.16,58.25,3.71,192
2021-05-02,153324721,3311312,89612414,60400995,675618,2.16,58.45,3.7,192
2021-05-03,154004226,3323037,90255903,60425286,679505,2.16,58.61,3.68,192
2021-05-04,154812453,3337118,90912803,60562532,808227,2.16,58.72,3.67,192
2021-05-05,155655299,3352026,91626285,60676988,842846,2.15,58.86,3.66,192
2021-05-06,156525766,3366692,92301897,60857177,870467,2.15,58.97,3.65,192
2021-05-07,157359244,3381153,92998026,60980065,833478,2.15,59.1,3.64,192
2021-05-08,158146474,3394472,93709031,61042971,787230,2.15,59.25,3.62,192
2021-05-09,158789007,3404930,94371824,61012253,642534,2.14,59.43,3.61,192
2021-05-10,159408077,3416007,95000510,60991560,619070,2.14,59.6,3.6,192
2021-05-11,160147524,3430249,95751514,60965761,739464,2.14,59.79,3.58,192
2021-05-12,160908158,3444126,96399063,61064969,760634,2.14,59.91,3.57,192
2021-05-13,161633999,3457842,97089180,61086977,725841,2.14,60.07,3.56,192
2021-05-14,162352048,3470873,97754527,61126648,718049,2.14,60.21,3.55,192
2021-05-15,162981367,3483129,98397064,61101174,629319,2.14,60.37,3.54,192
2021-05-16,163530925,3493373,99064468,60973084,549558,2.14,60.58,3.53,192
2021-05-17,164069809,3504533,99808930,60756346,538884,2.14,60.83,3.51,192
2021-05-18,164692856,3518743,100552043,60622070,625409,2.14,61.05,3.5,193
2021-05-19,165365277,3532319,101250070,60582888,672421,2.14,61.23,3.49,193
2021-05-20,165645081,3545380,101886759,60212942,628644,2.14,61.51,3.48,193
2021-05-21,166271712,3558409,102501547,60211756,626631,2.14,61.65,3.47,193
2021-05-22,166851116,3569935,103118308,60162873,579404,2.14,61.8,3.46,193
2021-05-23,167328393,3579687,103620279,60128427,477277,2.14,61.93,3.45,193
2021-05-24,167780883,3588734,104247871,59944278,452490,2.14,62.13,3.44,193
2021-05-25,168313738,3601955,104824934,59886849,532855,2.14,62.28,3.44,193
2021-05-26,168883418,3614694,105380747,59887977,569680,2.14,62.4,3.43,193
2021-05-27,169437747,3627701,106078105,59731941,554329,2.14,62.61,3.42,193
2021-05-28,169938347,3639639,106633068,59665640,500600,2.14,62.75,3.41,193
2021-05-29,170420672,3650422,107140668,59629582,482325,2.14,62.87,3.41,193
2021-05-30,170812524,3658720,107630597,59523207,391852,2.14,63.01,3.4,193
2021-05-31,171191360,3667413,108159766,59364181,378836,2.14,63.18,3.39,193
2021-06-01,171654395,3682756,108743649,59227990,463035,2.15,63.35,3.39,193
2021-06-02,172140627,3694663,109272023,59173941,486232,2.15,63.48,3.38,193
2021-06-03,172630059,3704521,109701213,59224325,489432,2.15,63.55,3.38,193
2021-06-04,173049795,3715481,110226715,59107599,419736,2.15,63.7,3.37,193
2021-06-05,173449067,3724862,110704845,59019360,399272,2.15,63.83,3.36,193
2021-06-06,173772364,3732080,111146371,58893913,323297,2.15,63.96,3.36,193
2021-06-07,174092954,3740127,111568368,58784459,320590,2.15,64.09,3.35,193
2021-06-08,174460181,3750496,111983104,58726581,367227,2.15,64.19,3.35,193
2021-06-09,174880122,3760993,112435799,58683330,419941,2.15,64.29,3.35,193
2021-06-10,175329833,3776987,112849488,58703358,449711,2.15,64.36,3.35,193
2021-06-11,175750831,3788797,113225020,58737014,420998,2.16,64.42,3.35,193
2021-06-12,176123687,3798567,113563994,58761126,372856,2.16,64.48,3.34,193
2021-06-13,176427363,3807834,113993655,58625874,303676,2.16,64.61,3.34,193
2021-06-14,176734743,3815697,114340429,58578617,307380,2.16,64.7,3.34,193
2021-06-15,177106097,3826285,114800574,58479238,371354,2.16,64.82,3.33,193
2021-06-16,177504810,3836617,115149801,58518392,398713,2.16,64.87,3.33,193
2021-06-17,177897357,3845916,115530279,58521162,392547,2.16,64.94,3.33,193
2021-06-18,178304245,3855145,115849842,58599258,406888,2.16,64.97,3.33,193
2021-06-19,178653746,3863321,116181692,58608733,349501,2.16,65.03,3.33,194
2021-06-20,178956142,3870047,116446786,58639309,302396,2.16,65.07,3.32,194
2021-06-21,179249824,3876898,116804004,58568922,293682,2.16,65.16,3.32,194
2021-06-22,179621652,3885897,117107408,58628347,371828,2.16,65.2,3.32,194
2021-06-23,180059453,3895430,117507151,58656872,437801,2.16,65.26,3.32,194
2021-06-24,180464378,3904050,117796862,58763466,404925,2.16,65.27,3.31,194
2021-06-25,180886324,3913280,118125509,58847535,421946,2.16,65.3,3.31,194
2021-06-26,181252361,3920831,118420068,58911462,366037,2.16,65.33,3.31,194
2021-06-27,181563850,3926926,118678807,58958117,311489,2.16,65.36,3.31,194
2021-06-28,181892194,3933429,119006263,58952502,328344,2.16,65.43,3.31,194
2021-06-29,182271854,3941557,119299679,59030618,379660,2.16,65.45,3.3,194
2021-06-30,182668855,3950779,119580620,59137456,397024,2.16,65.46,3.3,194
2021-07-01,183109841,3959446,120008476,59141919,440986,2.16,65.54,3.3,194
2021-07-02,183551113,3967726,120299518,59283869,441272,2.16,65.54,3.3,194
2021-07-03,183927814,3974630,120569293,59383891,376701,2.16,65.55,3.3,194
2021-07-04,184256333,3981298,120868181,59406854,328519,2.16,65.6,3.29,194
2021-07-05,184625902,3988587,121235174,59402141,369569,2.16,65.67,3.29,194
2021-07-06,185079341,3997136,121563017,59519188,453439,2.16,65.68,3.29,194
2021-07-07,185542796,4005718,121831180,59705898,463455,2.16,65.66,3.29,194
2021-07-08,186023152,4014560,122123831,59884761,480356,2.16,65.65,3.29,194
2021-07-09,186530674,4022958,122462949,60044767,507522,2.16,65.65,3.29,194
2021-07-10,186957731,4029581,122907153,60020997,427057,2.16,65.74,3.28,194
2021-07-11,187328258,4037209,123197639,60093410,370527,2.16,65.77,3.28,194
2021-07-12,187764950,4045267,123499875,60219808,436692,2.15,65.77,3.28,194
2021-07-13,188284939,4053600,123783322,60448017,519989,2.15,65.74,3.27,194
2021-07-14,188826409,4062241,124113063,60651105,541470,2.15,65.73,3.27,194
2021-07-15,189398538,4070778,124394119,60933641,572129,2.15,65.68,3.27,194
2021-07-16,189996825,4079504,124784824,61132497,598287,2.15,65.68,3.27,194
2021-07-17,190470815,4086591,125065613,61318611,473990,2.15,65.66,3.27,194
2021-07-18,190901834,4093687,125382096,61426051,431019,2.14,65.68,3.26,194
2021-07-19,191398363,4100742,125688817,61608804,496529,2.14,65.67,3.26,194
2021-07-20,191928311,4121501,126008997,61797813,529948,2.15,65.65,3.27,194
2021-07-21,192487127,4130204,126315580,62041343,558816,2.15,65.62,3.27,194
2021-07-22,193051527,4138965,126671708,62240854,564400,2.14,65.62,3.27,194
2021-07-23,193741537,4146749,126918098,62676690,690010,2.14,65.51,3.27,194
2021-07-24,194213568,4155998,127435324,62622246,531407,2.14,65.62,3.26,194
2021-07-25,194658862,4163313,127762741,62732808,445294,2.14,65.63,3.26,194
2021-07-26,195199234,4171094,128063201,62964939,540372,2.14,65.61,3.26,194
2021-07-27,195809468,4180968,128409040,63219460,610234,2.14,65.58,3.26,194
2021-07-28,196453769,4191133,128745703,63516933,644301,2.13,65.53,3.26,194
2021-07-29,197106638,4201964,129094091,63810583,652869,2.13,65.49,3.25,194
2021-07-30,197836939,4211604,129401282,64224053,730301,2.13,65.41,3.25,194
2021-07-31,198347107,4220366,129705211,64421530,510168,2.13,65.39,3.25,194
2021-08-01,198828403,4227771,129994389,64606243,481296,2.13,65.38,3.25,194
2021-08-02,199406477,4235686,130277533,64893258,578074,2.12,65.33,3.25,194
2021-08-03,200043878,4246033,130582001,65215844,637401,2.12,65.28,3.25,194
2021-08-04,200719281,4256659,130899061,65563561,675403,2.12,65.21,3.25,194
2021-08-05,201408207,4267608,0,197140599,688926,2.12,0.0,inf,194
2021-08-06,202230021,4278188,0,197951833,821814,2.12,0.0,inf,194
2021-08-07,202780949,4286810,0,198494139,550928,2.11,0.0,inf,194
2021-08-08,203222534,4294261,0,198928273,441585,2.11,0.0,inf,194
2021-08-09,203876367,4302900,0,199573467,653833,2.11,0.0,inf,194
2021-08-10,204525012,4314457,0,200210555,648645,2.11,0.0,inf,194
2021-08-11,205253537,4324880,0,200928657,728525,2.11,0.0,inf,194
2021-08-12,205964324,4335555,0,201628769,710787,2.11,0.0,inf,194
2021-08-13,206770035,4346032,0,202424003,805711,2.1,0.0,inf,194
2021-08-14,207303979,4354720,0,202949259,533944,2.1,0.0,inf,194
2021-08-15,207767991,4361963,0,203406028,464012,2.1,0.0,inf,194
2021-08-16,208446601,4371776,0,204074825,678610,2.1,0.0,inf,194
2021-08-17,209129664,4382544,0,204747120,683063,2.1,0.0,inf,194
2021-08-18,209857883,4393379,0,205464504,728219,2.09,0.0,inf,194
2021-08-19,210573528,4404887,0,206168641,715645,2.09,0.0,inf,194
2021-08-20,211363647,4415351,0,206948296,790119,2.09,0.0,inf,194
2021-08-21,211903830,4424283,0,207479547,540183,2.09,0.0,inf,194
2021-08-22,212350322,4431916,0,207918406,446492,2.09,0.0,inf,195
2021-08-23,213054769,4441959,0,208612810,704447,2.08,0.0,inf,195
2021-08-24,213741695,4453055,0,209288640,686926,2.08,0.0,inf,195
2021-08-25,214472013,4464410,0,210007603,730318,2.08,0.0,inf,195
2021-08-26,215207701,4476069,0,210731632,735688,2.08,0.0,inf,195
2021-08-27,215953403,4486309,0,211467094,745702,2.08,0.0,inf,195
2021-08-28,216500787,4494814,0,212005973,547384,2.08,0.0,inf,195
2021-08-29,216947360,4501529,0,212445831,446573,2.07,0.0,inf,195
2021-08-30,217633893,4511036,0,213122857,686533,2.07,0.0,inf,195
2021-08-31,218253078,4520174,0,213732904,619185,2.07,0.0,inf,195
2021-09-01,218980419,4532683,0,214447736,727341,2.07,0.0,inf,195
2021-09-02,219657435,4543898,0,215113537,678723,2.07,0.0,inf,195
2021-09-03,220375552,4554596,0,215820956,718117,2.07,0.0,inf,195
2021-09-04,220860270,4562326,0,216297944,484718,2.07,0.0,inf,195
2021-09-05,221300336,4568815,0,216731521,440066,2.06,0.0,inf,195
2021-09-06,221740843,4576798,0,217164045,440520,2.06,0.0,inf,195
2021-09-07,222466360,4587291,0,217879069,725517,2.06,0.0,inf,195
2021-09-08,223098056,4597396,0,218500660,631696,2.06,0.0,inf,195
2021-09-09,223735690,4608174,0,219127516,637634,2.06,0.0,inf,195
2021-09-10,224369697,4617369,0,219752328,634007,2.06,0.0,inf,195
2021-09-11,224826264,4625724,0,220200540,456567,2.06,0.0,inf,195
2021-09-12,225194512,4631246,0,220563266,368248,2.06,0.0,inf,195
2021-09-13,225795807,4640305,0,221155502,601295,2.06,0.0,inf,195
2021-09-14,226347185,4650274,0,221696911,551378,2.05,0.0,inf,195
2021-09-15,226915146,4660724,0,222254422,569137,2.05,0.0,inf,195
2021-09-16,227491699,4671210,0,222820489,576553,2.05,0.0,inf,195
2021-09-17,228085242,4679897,0,223405345,593543,2.05,0.0,inf,195
2021-09-18,228622290,4686676,0,223935614,537048,2.05,0.0,inf,195
2021-09-19,228983132,4692710,0,224290422,360842,2.05,0.0,inf,195
2021-09-20,229517203,4700907,0,224816296,534071,2.05,0.0,inf,195
2021-09-21,229986376,4710025,0,225276351,469746,2.05,0.0,inf,195
2021-09-22,230524541,4720161,0,225804380,538165,2.05,0.0,inf,195
2021-09-23,231036255,4729942,0,226306313,511714,2.05,0.0,inf,195
2021-09-24,231583832,4738745,0,226845087,547577,2.05,0.0,inf,195
2021-09-25,231950986,4744126,0,227206860,367277,2.05,0.0,inf,195
2021-09-26,232299314,4749495,0,227549819,348328,2.04,0.0,inf,195
2021-09-27,232771956,4757269,0,228014687,472642,2.04,0.0,inf,195
2021-09-28,233221417,4766652,0,228454765,449461,2.04,0.0,inf,195
2021-09-29,233724214,4776021,0,228948193,502797,2.04,0.0,inf,195
2021-09-30,234208971,4784857,0,229424114,484757,2.04,0.0,inf,195
2021-10-01,234748387,4793470,0,229954917,539416,2.04,0.0,inf,195
2021-10-02,235095040,4799292,0,230295748,346653,2.04,0.0,inf,195
2021-10-03,235401434,4803531,0,230597903,306394,2.04,0.0,inf,195
2021-10-04,235845963,4810781,0,231035182,444529,2.04,0.0,inf,195
2021-10-05,236266136,4818197,0,231447939,420173,2.04,0.0,inf,195
2021-10-06,236779095,4827421,0,231951674,512959,2.04,0.0,inf,195
2021-10-07,237211931,4836286,0,232375645,432836,2.04,0.0,inf,195
2021-10-08,237686400,4843846,0,232842554,474469,2.04,0.0,inf,195
2021-10-09,238018655,4848604,0,233170051,332255,2.04,0.0,inf,195
2021-10-10,238333586,4853276,0,233480310,314931,2.04,0.0,inf,195
2021-10-11,238715579,4859104,0,233856475,381993,2.04,0.0,inf,195
2021-10-12,239148881,4867237,0,234281644,433302,2.04,0.0,inf,195
2021-10-13,239612218,4876012,0,234736206,463337,2.03,0.0,inf,195
2021-10-14,240056784,4883982,0,235172802,445662,2.03,0.0,inf,195
2021-10-15,240513864,4891267,0,235622597,457080,2.03,0.0,inf,195
2021-10-16,240851135,4896480,0,235954655,337271,2.03,0.0,inf,195
2021-10-17,241164420,4900716,0,236263704,313285,2.03,0.0,inf,195
2021-10-18,241579187,4907217,0,236671970,414767,2.03,0.0,inf,195
2021-10-19,242021338,4915489,0,237105849,442151,2.03,0.0,inf,195
2021-10-20,242492536,4924142,0,237568394,471198,2.03,0.0,inf,195
2021-10-21,242949520,4931808,0,238017712,456984,2.03,0.0,inf,195
2021-10-22,243435169,4940000,0,238495169,485649,2.03,0.0,inf,195
2021-10-23,243795462,4945733,0,238849729,360293,2.03,0.0,inf,195
2021-10-24,244111535,4950279,0,239161256,316073,2.03,0.0,inf,195
2021-10-25,244542543,4956930,0,239585613,431008,2.03,0.0,inf,195
2021-10-26,244985323,4964853,0,240020470,442780,2.03,0.0,inf,195
2021-10-27,245497806,4974006,0,240523800,512483,2.03,0.0,inf,195
2021-10-28,245956884,4982553,0,240974331,459078,2.03,0.0,inf,195
2021-10-29,246461713,4990581,0,241471132,504829,2.02,0.0,inf,196
2021-10-30,246843695,4996541,0,241847154,381982,2.02,0.0,inf,196
2021-10-31,247164535,5000974,0,242163561,321394,2.02,0.0,inf,196
2021-11-01,247587572,5007254,0,242580318,423037,2.02,0.0,inf,196
2021-11-02,248017061,5014527,0,243002534,429489,2.02,0.0,inf,196
2021-11-03,248538243,5022844,0,243515399,521182,2.02,0.0,inf,196
2021-11-04,249066022,5030500,0,244035522,527779,2.02,0.0,inf,196
2021-11-05,249581338,5039060,0,244542278,515316,2.02,0.0,inf,196
2021-11-06,249995727,5045569,0,244950158,414389,2.02,0.0,inf,196
2021-11-07,250342855,5049974,0,245292881,347128,2.02,0.0,inf,196
2021-11-08,250821351,5056684,0,245764667,478496,2.02,0.0,inf,196
2021-11-09,251304183,5064853,0,246239330,482832,2.02,0.0,inf,196
2021-11-10,251878287,5072972,0,246805315,574152,2.01,0.0,inf,196
2021-11-11,252394195,5080520,0,247313675,515908,2.01,0.0,inf,196
2021-11-12,252988591,5089178,0,247899413,594396,2.01,0.0,inf,196
2021-11-13,253417131,5096019,0,248321112,428540,2.01,0.0,inf,196
2021-11-14,253768445,5100540,0,248667905,351314,2.01,0.0,inf,196
2021-11-15,254308773,5107254,0,249201519,540328,2.01,0.0,inf,196
2021-11-16,254835174,5114874,0,249720300,526401,2.01,0.0,inf,196
2021-11-17,255460040,5124002,0,250336038,624866,2.01,0.0,inf,196
2021-11-18,256072650,5132202,0,250940448,612610,2.0,0.0,inf,196
2021-11-19,256692023,5140519,0,251551504,619373,2.0,0.0,inf,196
2021-11-20,257168692,5146467,0,252022225,476669,2.0,0.0,inf,196
2021-11-21,257555773,5150868,0,252404905,387081,2.0,0.0,inf,196
2021-11-22,258187502,5158099,0,253029403,631729,2.0,0.0,inf,196
2021-11-23,258794189,5166129,0,253628060,607836,2.0,0.0,inf,196
