Date,Confirmed,Deaths,Recovered,Active,New Cases,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,No. of Countries
2020-04-13,1920621,128582,448623,1343416,70986,6.69,23.36,28.66,184
2020-04-14,2004469,135687,473697,1395085,83848,6.77,23.63,28.64,184
2020-04-15,2082629,144231,510236,1428162,78160,6.93,24.5,28.27,184
2020-04-16,2178015,151650,541119,1485246,95386,6.96,24.84,28.03,184
2020-04-17,2266210,160151,567303,1538756,88195,7.07,25.03,28.23,184
2020-04-18,2343459,166353,591169,1585937,77250,7.1,25.23,28.14,184
2020-04-19,2420285,171704,622952,1625629,76826,7.09,25.74,27.56,184
2020-04-20,2495724,177752,645130,1672842,75439,7.12,25.85,27.55,184
2020-04-21,2571680,185154,679932,1706594,75956,7.2,26.44,27.23,184
2020-04-22,2653519,192181,710017,1751321,81839,7.24,26.76,27.07,184
2020-04-23,2737033,199179,738747,1799107,85223,7.28,26.99,26.96,184
2020-04-24,2820960,206093,788776,1826091,93961,7.31,27.96,26.13,184
2020-04-25,2903927,211977,816531,1875419,82967,7.3,28.12,25.96,184
2020-04-26,2975368,216230,845343,1913795,71442,7.27,28.41,25.58,184
2020-04-27,3045572,221160,873227,1951185,70204,7.26,28.67,25.33,184
2020-04-28,3121378,227995,906439,1986944,75806,7.3,29.04,25.15,184
2020-04-29,3198366,234942,948516,2014908,78445,7.35,29.66,24.77,184
2020-04-30,3281736,240996,1013632,2027108,83377,7.34,30.89,23.78,185
2020-05-01,3370333,246467,1051789,2072077,88597,7.31,31.21,23.43,186
2020-05-02,3449993,252311,1092440,2105242,79827,7.31,31.66,23.1,186
2020-05-03,3524895,256158,1124973,2143764,74902,7.27,31.92,22.77,186
2020-05-04,3602083,260710,1159059,2182314,77189,7.24,32.18,22.49,186
2020-05-05,3682186,266837,1195532,2219817,80103,7.25,32.47,22.32,186
2020-05-06,3772588,273722,1241651,2257215,90402,7.26,32.91,22.05,186
2020-05-07,3861478,279419,1281176,2300883,90473,7.24,33.18,21.81,186
2020-05-08,3952059,285347,1317589,2349123,92061,7.22,33.34,21.66,186
2020-05-09,4036214,289933,1371030,2375251,84155,7.18,33.97,21.15,186
2020-05-10,4111910,293974,1404839,2413097,75696,7.15,34.17,20.93,186
2020-05-11,4188263,297890,1451724,2438649,76410,7.11,34.66,20.52,186
2020-05-12,4272702,303770,1488766,2480166,84459,7.11,34.84,20.4,186
2020-05-13,4357656,309256,1544638,2503762,84954,7.1,35.45,20.02,187
2020-05-14,4453534,314838,1584349,2554347,95879,7.07,35.58,19.87,187
2020-05-15,4549685,320474,1632452,2596759,96151,7.04,35.88,19.63,187
2020-05-16,4643963,325024,1688863,2630076,94278,7.0,36.37,19.25,187
2020-05-17,4722390,328598,1729871,2663921,78427,6.96,36.63,19.0,187
2020-05-18,4811104,332747,1782787,2695570,88714,6.92,37.06,18.66,187
2020-05-19,4907900,337874,1834839,2735187,97005,6.88,37.39,18.41,187
2020-05-20,5010021,343067,1893809,2773145,102121,6.85,37.8,18.12,187
2020-05-21,5116700,348152,1945029,2823519,106783,6.8,38.01,17.9,187
2020-05-22,5223038,353809,2053576,2815653,106338,6.77,39.32,17.23,187
2020-05-23,5327487,358105,2108410,2860972,104449,6.72,39.58,16.98,187
2020-05-24,5422309,361589,2163937,2896783,95261,6.67,39.91,16.71,187
2020-05-25,5508897,363203,2227666,2918028,86960,6.59,40.44,16.3,187
2020-05-26,5601704,367844,2282818,2951042,92807,6.57,40.75,16.11,187
2020-05-27,5705239,373262,2346145,2985832,103535,6.54,41.12,15.91,187
2020-05-28,5823756,378273,2413008,3032475,118517,6.5,41.43,15.68,187
2020-05-29,5944871,383420,2490273,3071178,121115,6.45,41.89,15.4,187
2020-05-30,6081732,387798,2560723,3133211,136861,6.38,42.11,15.14,187
2020-05-31,6188463,390953,2637107,3160403,106731,6.32,42.61,14.83,187
2020-06-01,6284168,394468,2692032,3197668,95705,6.28,42.84,14.65,187
2020-06-02,6405876,399670,2796144,3210062,122355,6.24,43.65,14.29,187
2020-06-03,6520059,405514,2875235,3239310,117410,6.22,44.1,14.1,187
2020-06-04,6650901,410948,2945305,3294648,130842,6.18,44.28,13.95,187
2020-06-05,6781971,416001,3014470,3351500,131070,6.13,44.45,13.8,187
2020-06-06,6915859,420215,3086674,3408970,133888,6.08,44.63,13.61,187
2020-06-07,7028665,423398,3141783,3463484,112806,6.02,44.7,13.48,187
2020-06-08,7129887,427565,3293394,3408928,101222,6.0,46.19,12.98,187
2020-06-09,7254439,432765,3375664,3446010,124552,5.97,46.53,12.82,187
2020-06-10,7389759,438246,3454835,3496678,135320,5.93,46.75,12.69,187
2020-06-11,7527045,443301,3540714,3543030,137286,5.89,47.04,12.52,187
2020-06-12,7656259,448108,3620434,3587717,129214,5.85,47.29,12.38,187
2020-06-13,7791267,452550,3706326,3632391,135008,5.81,47.57,12.21,187
2020-06-14,7924003,456196,3777145,3690662,132736,5.76,47.67,12.08,187
2020-06-15,8042351,460034,3857420,3724897,118348,5.72,47.96,11.93,187
2020-06-16,8183996,467130,3955283,3761583,141645,5.71,48.33,11.81,187
2020-06-17,8328753,472704,4074114,3781935,144757,5.68,48.92,11.6,187
2020-06-18,8469434,478025,4155277,3836132,140681,5.64,49.06,11.5,187
2020-06-19,8649622,484407,4250267,3914948,180336,5.6,49.14,11.4,187
2020-06-20,8807275,488915,4366121,3952239,157653,5.55,49.57,11.2,187
2020-06-21,8936131,493534,4434807,4007790,128856,5.52,49.63,11.13,187
2020-06-22,9074332,497252,4526440,4050640,138202,5.48,49.88,10.99,187
2020-06-23,9241365,502810,4630495,4108060,167036,5.44,50.11,10.86,187
2020-06-24,9414275,508369,4746246,4159660,172910,5.4,50.42,10.71,187
2020-06-25,9592713,513422,4839130,4240161,178438,5.35,50.45,10.61,187
2020-06-26,9784445,518498,4945110,4320837,191732,5.3,50.54,10.49,187
2020-06-27,9963202,523270,5051396,4388536,178757,5.25,50.7,10.36,187
2020-06-28,10128228,526801,5140599,4460828,165433,5.2,50.76,10.25,187
2020-06-29,10281759,530799,5235170,4515790,153531,5.16,50.92,10.14,187
2020-06-30,10458098,536001,5352510,4569587,176339,5.13,51.18,10.01,187
2020-07-01,10675383,541325,5468424,4665634,217285,5.07,51.22,9.9,187
2020-07-02,10885106,546794,5753358,4584954,209723,5.02,52.86,9.5,187
2020-07-03,11087872,552109,5863246,4672517,202767,4.98,52.88,9.42,187
2020-07-04,11284861,556907,6059006,4668948,196989,4.93,53.69,9.19,187
2020-07-05,11468555,560749,6178369,4729437,183694,4.89,53.87,9.08,187
2020-07-06,11632139,564898,6302068,4765173,163584,4.86,54.18,8.96,187
2020-07-07,11841865,571230,6447101,4823534,209726,4.82,54.44,8.86,187
2020-07-08,12055664,576913,6605157,4873594,213799,4.79,54.79,8.73,187
2020-07-09,12280583,582712,6739775,4958096,224919,4.74,54.88,8.65,187
2020-07-10,12513271,588378,6879221,5045672,232688,4.7,54.98,8.55,187
2020-07-11,12731054,593620,7004913,5132521,217783,4.66,55.02,8.47,187
2020-07-12,12925566,597922,7116749,5210895,194512,4.63,55.06,8.4,187
2020-07-13,13115541,602203,7257072,5256266,189975,4.59,55.33,8.3,187
2020-07-14,13336334,608196,7399324,5328814,220793,4.56,55.48,8.22,187
2020-07-15,13567294,614055,7559130,5394109,230965,4.53,55.72,8.12,187
2020-07-16,13819150,620242,7711615,5487293,251859,4.49,55.8,8.04,187
2020-07-17,14061932,627280,7895036,5539616,242782,4.46,56.14,7.95,187
2020-07-18,14299213,633857,8045823,5619533,237281,4.43,56.27,7.88,187
2020-07-19,14513627,638758,8133881,5740988,214414,4.4,56.04,7.85,187
2020-07-20,14718982,642544,8293009,5783429,205355,4.37,56.34,7.75,187
2020-07-21,14953571,648953,8467705,5836913,234699,4.34,56.63,7.66,187
2020-07-22,15233404,656310,8647437,5929657,279835,4.31,56.77,7.59,187
